School,W,L,W-L%,SOS,x,pf,y,pa,3P%,FT%,z,STL,h,BLK,l,TOV,KenPom,Quad1
Alabama,28,5,0.848,10.01,2712,82.18181818,2266,68.66666667,0.338,0.726,200,6.060606061,165,5,467,14.15151515,27.54,13
Arizona,28,6,0.824,8.82,2811,82.67647059,2431,71.5,0.382,0.709,208,6.117647059,109,3.205882353,455,13.38235294,22.86,9
Arizona St.,22,12,0.647,8.41,2391,70.32352941,2302,67.70588235,0.314,0.689,247,7.264705882,159,4.676470588,402,11.82352941,12.38,5
Arkansas,20,13,0.606,9.61,2456,74.42424242,2224,67.39393939,0.317,0.69,277,8.393939394,173,5.242424242,426,12.90909091,18.63,4
Auburn,20,12,0.625,9.27,2327,72.71875,2146,67.0625,0.314,0.702,256,8,164,5.125,399,12.46875,17.45,3
Baylor,22,10,0.688,11.17,2469,77.15625,2248,70.25,0.372,0.749,213,6.65625,76,2.375,394,12.3125,19.98,11
Boise St.,24,9,0.727,6.6,2384,72.24242424,2123,64.33333333,0.365,0.735,169,5.121212121,97,2.939393939,370,11.21212121,17.13,3
Colgate,26,8,0.765,-6.63,2672,78.58823529,2345,68.97058824,0.408,0.657,237,6.970588235,97,2.852941176,346,10.17647059,5.29,0
Charleston,31,3,0.912,-4.51,2747,80.79411765,2290,67.35294118,0.334,0.741,250,7.352941176,107,3.147058824,408,12,11.76,0
UConn,24,8,0.75,7.45,2518,78.6875,2087,65.21875,0.359,0.75,209,6.53125,156,4.875,415,12.96875,25.37,6
Creighton,21,12,0.636,9.54,2529,76.63636364,2260,68.48484848,0.36,0.767,173,5.242424242,138,4.181818182,384,11.63636364,20.65,3
Drake,27,7,0.794,-1.12,2561,75.32352941,2173,63.91176471,0.373,0.769,183,5.382352941,89,2.617647059,356,10.47058824,12.51,1
Duke,26,8,0.765,7.03,2466,72.52941176,2174,63.94117647,0.336,0.77,194,5.705882353,153,4.5,409,12.02941176,18.49,5
FAU,31,3,0.912,0.51,2679,78.79411765,2209,64.97058824,0.372,0.716,231,6.794117647,84,2.470588235,400,11.76470588,18.23,2
